Unique ID,Curriculum,Grade,Subject,Chapter ID,Chapter Name,Topic ID,Topic,Target Date,Learning Status,Learning Stage,Learning Proficiency,Progress %,Notes
CBSE-11-PHY-13.4,CBSE,11,Physics,PHY-13, Kinetic Theory ,PHY-13.4, Mean free path and Brownian motion,20/1/2026,Closed,Revised,Master,0,
CBSE-11-PHY-14.1,CBSE,11,Physics,PHY-14, Oscillations ,PHY-14.1, Periodic motion and simple harmonic motion,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-PHY-14.2,CBSE,11,Physics,PHY-14, Oscillations ,PHY-14.2, Simple pendulum and spring-mass system,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-PHY-14.3,CBSE,11,Physics,PHY-14, Oscillations ,PHY-14.3, Energy in SHM and damped oscillations,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-PHY-14.4,CBSE,11,Physics,PHY-14, Oscillations ,PHY-14.4, Forced oscillations and resonance,20/1/2026,Done,Practiced,Master,0,
CBSE-11-PHY-15.1,CBSE,11,Physics,PHY-15, Waves ,PHY-15.1, Wave motion and types of waves,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-PHY-15.2,CBSE,11,Physics,PHY-15, Waves ,PHY-15.2, Speed of wave and wave equation,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-PHY-15.3,CBSE,11,Physics,PHY-15, Waves ,PHY-15.3, Superposition principle and interference,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-PHY-15.4,CBSE,11,Physics,PHY-15, Waves ,PHY-15.4, Standing waves and beats,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-PHY-15.5,CBSE,11,Physics,PHY-15, Waves ,PHY-15.5, Doppler effect and sonic boom,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-CHM-1.1,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.1, Importance of chemistry and matter,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-CHM-1.2,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.2, Laws of chemical combination,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-CHM-1.3,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.3, Dalton's atomic theory and atomic mass,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-CHM-1.4,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.4, Mole concept and molar mass,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-CHM-1.5,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.5, Percentage composition and empirical formula,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-CHM-1.6,CBSE,11,Chemistry,CHM-1, Some Basic Concepts of Chemistry ,CHM-1.6, Stoichiometry and limiting reagent,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-CHM-2.1,CBSE,11,Chemistry,CHM-2, Structure of Atom ,CHM-2.1, Discovery of electron proton neutron,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-CHM-2.2,CBSE,11,Chemistry,CHM-2, Structure of Atom ,CHM-2.2, Atomic models: Thomson Rutherford Bohr,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-CHM-2.3,CBSE,11,Chemistry,CHM-2, Structure of Atom ,CHM-2.3, Quantum mechanical model and orbitals,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-CHM-2.4,CBSE,11,Chemistry,CHM-2, Structure of Atom ,CHM-2.4, Electronic configuration and periodicity,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-CHM-3.1,CBSE,11,Chemistry,CHM-3, Classification of Elements and Periodicity in Properties ,CHM-3.1, Modern periodic law and table,20/1/2026,Closed,Revised,Master,0,
CBSE-11-CHM-3.2,CBSE,11,Chemistry,CHM-3, Classification of Elements and Periodicity in Properties ,CHM-3.2, Periodic trends: atomic radius ionization energy,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-CHM-3.3,CBSE,11,Chemistry,CHM-3, Classification of Elements and Periodicity in Properties ,CHM-3.3, Electron gain enthalpy and electronegativity,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-CHM-4.1,CBSE,11,Chemistry,CHM-4, Chemical Bonding and Molecular Structure ,CHM-4.1, Valence electrons and Lewis symbols,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-CHM-4.2,CBSE,11,Chemistry,CHM-4, Chemical Bonding and Molecular Structure ,CHM-4.2, Ionic bonding and lattice energy,20/1/2026,Done,Practiced,Master,0,
CBSE-11-CHM-4.3,CBSE,11,Chemistry,CHM-4, Chemical Bonding and Molecular Structure ,CHM-4.3, Bond parameters and polarity,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-CHM-4.4,CBSE,11,Chemistry,CHM-4, Chemical Bonding and Molecular Structure ,CHM-4.4, VSEPR theory and shapes of molecules,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-CHM-4.5,CBSE,11,Chemistry,CHM-4, Chemical Bonding and Molecular Structure ,CHM-4.5, Hybridization and molecular orbital theory,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-CHM-5.1,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.1, Intermolecular forces and gas laws,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-CHM-5.2,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.2, Ideal gas equation and deviations,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-CHM-5.3,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.3, Kinetic molecular theory of gases,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-CHM-5.4,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.4, Liquefaction and critical temperature,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-CHM-5.5,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.5, Properties of liquids and surface tension,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-CHM-5.6,CBSE,11,Chemistry,CHM-5, States of Matter – Gases and Liquids ,CHM-5.6, Viscosity and vapor pressure,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-CHM-6.1,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.1, System and surroundings,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-CHM-6.2,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.2, Types of systems and processes,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-CHM-6.3,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.3, Internal energy and enthalpy,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-CHM-6.4,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.4, First law of thermodynamics,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-CHM-6.5,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.5, Heat capacity and calorimetry,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-CHM-6.6,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.6, Enthalpy change and Hess's law,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-CHM-6.7,CBSE,11,Chemistry,CHM-6, Thermodynamics ,CHM-6.7, Spontaneity and Gibbs free energy,20/1/2026,Closed,Revised,Master,0,
CBSE-11-CHM-7.1,CBSE,11,Chemistry,CHM-7, Equilibrium ,CHM-7.1, Physical and chemical equilibrium,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-CHM-7.2,CBSE,11,Chemistry,CHM-7, Equilibrium ,CHM-7.2, Law of mass action and equilibrium constant,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-CHM-7.3,CBSE,11,Chemistry,CHM-7, Equilibrium ,CHM-7.3, Le Chatelier's principle,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-CHM-7.4,CBSE,11,Chemistry,CHM-7, Equilibrium ,CHM-7.4, Ionic equilibrium and pH,20/1/2026,Done,Practiced,Master,0,
CBSE-11-CHM-7.5,CBSE,11,Chemistry,CHM-7, Equilibrium ,CHM-7.5, Buffer solutions and solubility product,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-CHM-8.1,CBSE,11,Chemistry,CHM-8, Redox Reactions ,CHM-8.1, Oxidation and reduction concepts,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-CHM-8.2,CBSE,11,Chemistry,CHM-8, Redox Reactions ,CHM-8.2, Redox reactions and balancing,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-CHM-8.3,CBSE,11,Chemistry,CHM-8, Redox Reactions ,CHM-8.3, Oxidizing and reducing agents,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-CHM-8.4,CBSE,11,Chemistry,CHM-8, Redox Reactions ,CHM-8.4, Electrochemical concepts,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-CHM-9.1,CBSE,11,Chemistry,CHM-9, Hydrogen ,CHM-9.1, Properties and isotopes of hydrogen,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-CHM-9.2,CBSE,11,Chemistry,CHM-9, Hydrogen ,CHM-9.2, Hydrides and water chemistry,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-CHM-9.3,CBSE,11,Chemistry,CHM-9, Hydrogen ,CHM-9.3, Heavy water and hydrogen peroxide,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-CHM-9.4,CBSE,11,Chemistry,CHM-9, Hydrogen ,CHM-9.4, Uses and environmental role,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-CHM-10.1,CBSE,11,Chemistry,CHM-10, The s-Block Element ,CHM-10.1, Group 1 elements: alkali metals,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-CHM-10.2,CBSE,11,Chemistry,CHM-10, The s-Block Element ,CHM-10.2, Group 2 elements: alkaline earth metals,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-CHM-10.3,CBSE,11,Chemistry,CHM-10, The s-Block Element ,CHM-10.3, General properties and trends,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-CHM-10.4,CBSE,11,Chemistry,CHM-10, The s-Block Element ,CHM-10.4, Biological importance of sodium and potassium,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-CHM-10.5,CBSE,11,Chemistry,CHM-10, The s-Block Element ,CHM-10.5, Compounds of calcium and magnesium,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-CHM-11.1,CBSE,11,Chemistry,CHM-11, The p-Block Element ,CHM-11.1, Group 13 elements: boron family,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-CHM-11.2,CBSE,11,Chemistry,CHM-11, The p-Block Element ,CHM-11.2, Group 14 elements: carbon family,20/1/2026,Closed,Revised,Master,0,
CBSE-11-CHM-11.3,CBSE,11,Chemistry,CHM-11, The p-Block Element ,CHM-11.3, Important compounds of boron and aluminium,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-CHM-11.4,CBSE,11,Chemistry,CHM-11, The p-Block Element ,CHM-11.4, Allotropes of carbon,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-CHM-12.1,CBSE,11,Chemistry,CHM-12, Organic Chemistry – Basic Principles ,CHM-12.1, Classification and nomenclature of organic compounds,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-CHM-12.2,CBSE,11,Chemistry,CHM-12, Organic Chemistry – Basic Principles ,CHM-12.2, Electronic displacements: inductive mesomeric hyperconjugation,20/1/2026,Done,Practiced,Master,0,
CBSE-11-CHM-12.3,CBSE,11,Chemistry,CHM-12, Organic Chemistry – Basic Principles ,CHM-12.3, Types of organic reactions,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-CHM-12.4,CBSE,11,Chemistry,CHM-12, Organic Chemistry – Basic Principles ,CHM-12.4, Purification and qualitative analysis,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-CHM-13.1,CBSE,11,Chemistry,CHM-13, Hydrocarbons ,CHM-13.1, Classification of hydrocarbons,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-CHM-13.2,CBSE,11,Chemistry,CHM-13, Hydrocarbons ,CHM-13.2, Alkanes: preparation and properties,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-CHM-13.3,CBSE,11,Chemistry,CHM-13, Hydrocarbons ,CHM-13.3, Alkenes: preparation and reactions,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-CHM-13.4,CBSE,11,Chemistry,CHM-13, Hydrocarbons ,CHM-13.4, Alkynes: preparation and reactions,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-CHM-13.5,CBSE,11,Chemistry,CHM-13, Hydrocarbons ,CHM-13.5, Aromatic hydrocarbons and benzene,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-CHM-14.1,CBSE,11,Chemistry,CHM-14, Environmental Chemistry ,CHM-14.1, Environmental pollution: air water soil,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-CHM-14.2,CBSE,11,Chemistry,CHM-14, Environmental Chemistry ,CHM-14.2, Chemical reactions in atmosphere,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-CHM-14.3,CBSE,11,Chemistry,CHM-14, Environmental Chemistry ,CHM-14.3, Green chemistry and its principles,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-CHM-14.4,CBSE,11,Chemistry,CHM-14, Environmental Chemistry ,CHM-14.4, Strategies for pollution control,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-CHM-15.1,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.1, Basic laboratory techniques,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-CHM-15.2,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.2, Preparation of standard solutions,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-CHM-15.3,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.3, Volumetric analysis,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-CHM-15.4,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.4, Qualitative salt analysis,20/1/2026,Done,Practiced,Expert,0,
CBSE-11-CHM-15.5,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.5, Detection of functional groups,20/1/2026,Closed,Revised,Master,0,
CBSE-11-CHM-15.6,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.6, Chromatography basics,20/1/2026,In Queue,Initiated,Novice,0,
CBSE-11-CHM-15.7,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.7, Safety and waste disposal,20/1/2026,To Do,Skimmed,Competent,0,
CBSE-11-CHM-15.8,CBSE,11,Chemistry,CHM-15, Practical Chemistry ,CHM-15.8, Record keeping and observation skills,20/1/2026,In Progress,Grasped,Expert,0,
CBSE-11-MTH-1.1,CBSE,11,Mathematics,MTH-1, Sets ,MTH-1.1, Types of sets,20/1/2026,Done,Practiced,Master,0,
CBSE-11-MTH-1.2,CBSE,11,Mathematics,MTH-1, Sets ,MTH-1.2, Venn diagrams,20/1/2026,Closed,Revised,Novice,0,
CBSE-11-MTH-1.3,CBSE,11,Mathematics,MTH-1, Sets ,MTH-1.3, Operations on sets,20/1/2026,In Queue,Initiated,Competent,0,
CBSE-11-MTH-1.4,CBSE,11,Mathematics,MTH-1, Sets ,MTH-1.4, Complement and properties,20/1/2026,To Do,Skimmed,Expert,0,
CBSE-11-MTH-2.1,CBSE,11,Mathematics,MTH-2, Relations and Functions ,MTH-2.1, Cartesian product of sets,20/1/2026,In Progress,Grasped,Master,0,
CBSE-11-MTH-2.2,CBSE,11,Mathematics,MTH-2, Relations and Functions ,MTH-2.2, Relations and types,20/1/2026,Done,Practiced,Novice,0,
CBSE-11-MTH-2.3,CBSE,11,Mathematics,MTH-2, Relations and Functions ,MTH-2.3, Functions and types,20/1/2026,Closed,Revised,Competent,0,
CBSE-11-MTH-2.4,CBSE,11,Mathematics,MTH-2, Relations and Functions ,MTH-2.4, Domain range and graphs,20/1/2026,In Queue,Initiated,Expert,0,
CBSE-11-MTH-3.1,CBSE,11,Mathematics,MTH-3, Trigonometric Functions ,MTH-3.1, Radian and degree measure,20/1/2026,To Do,Skimmed,Master,0,
CBSE-11-MTH-3.2,CBSE,11,Mathematics,MTH-3, Trigonometric Functions ,MTH-3.2, Trigonometric identities,20/1/2026,In Progress,Grasped,Novice,0,
CBSE-11-MTH-3.3,CBSE,11,Mathematics,MTH-3, Trigonometric Functions ,MTH-3.3, Graphs of trigonometric functions,20/1/2026,Done,Practiced,Competent,0,
CBSE-11-MTH-3.4,CBSE,11,Mathematics,MTH-3, Trigonometric Functions ,MTH-3.4, General solutions of equations,20/1/2026,Closed,Revised,Expert,0,
CBSE-11-MTH-3.5,CBSE,11,Mathematics,MTH-3, Trigonometric Functions ,MTH-3.5, Trigonometric equations,20/1/2026,In Queue,Initiated,Master,0,
CBSE-11-MTH-4.1,CBSE,11,Mathematics,MTH-4, Principle of Mathematical Induction ,MTH-4.1, Process of induction,20/1/2026,To Do,Skimmed,Novice,0,
CBSE-11-MTH-4.2,CBSE,11,Mathematics,MTH-4, Principle of Mathematical Induction ,MTH-4.2, Applications of induction,20/1/2026,In Progress,Grasped,Competent,0,
CBSE-11-MTH-5.1,CBSE,11,Mathematics,MTH-5, Complex Numbers and Quadratic Equations ,MTH-5.1, Algebra of complex numbers,20/1/2026,Done,Practiced,Expert,0,
